condition,problem_id,profile,reason,action
C1_PE_Llama,fecc3d4d9ba43ef7,advanced,exact_duplicate_metric_row,exclude_from_analysis
C1_PE_Llama,dc1b264fc4aefafb,struggling,exact_duplicate_metric_row,exclude_from_analysis
C1_PE_Llama,786a70bb2d54eaae,progressing,exact_duplicate_metric_row,exclude_from_analysis
C1_PE_Llama,dc1b264fc4aefafb,struggling,exact_duplicate_metric_row,exclude_from_analysis
C1_PE_Llama,786a70bb2d54eaae,progressing,exact_duplicate_metric_row,exclude_from_analysis
C1_PE_Llama,bfa26e430b44d5e6,progressing,exact_duplicate_metric_row,exclude_from_analysis
C1_PE_Llama,c46455f66de332c0,progressing,exact_duplicate_metric_row,exclude_from_analysis
C1_PE_Llama,c9fe583ec68ea08c,advanced,exact_duplicate_metric_row,exclude_from_analysis
C1_PE_Llama,67ab79f900374ccf,progressing,exact_duplicate_metric_row,exclude_from_analysis
C1_PE_Llama,2bbdc98e5efd30ec,struggling,exact_duplicate_metric_row,exclude_from_analysis
C1_PE_Llama,fecc3d4d9ba43ef7,advanced,exact_duplicate_metric_row,exclude_from_analysis
C1_PE_Llama,67ab79f900374ccf,progressing,exact_duplicate_metric_row,exclude_from_analysis
C1_PE_Llama,4f85613ff32ec2fb,advanced,exact_duplicate_metric_row,exclude_from_analysis
C1_PE_Llama,c9fe583ec68ea08c,advanced,exact_duplicate_metric_row,exclude_from_analysis
C1_PE_Llama,a02a9dd44a028b48,progressing,exact_duplicate_metric_row,exclude_from_analysis
C1_PE_Llama,c801a0da93a4310b,progressing,exact_duplicate_metric_row,exclude_from_analysis
C1_PE_Llama,5d38ace0309450b4,struggling,exact_duplicate_metric_row,exclude_from_analysis
C1_PE_Llama,a02a9dd44a028b48,progressing,exact_duplicate_metric_row,exclude_from_analysis
C1_PE_Llama,05b5db5d64d2d00d,progressing,exact_duplicate_metric_row,exclude_from_analysis
C1_PE_Llama,0f494281748adc02,progressing,exact_duplicate_metric_row,exclude_from_analysis
